Gender,Year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Female,46 years,1089,1052,961,960,922,911,867,823,725,725,643,586,567
Female,47 years,1201,1141,1133,1144,1103,1052,957,964,918,790,787,709,604
Female,48 years,1204,1223,1218,1190,1207,1137,1049,1080,1122,980,943,818,856
Female,49 years,1356,1374,1398,1359,1302,1281,1277,1246,1223,1156,1093,999,981
Female,50 years,1434,1404,1452,1436,1486,1395,1404,1388,1327,1209,1237,1229,1060
Female,51 years,1477,1468,1551,1580,1538,1624,1596,1543,1477,1458,1499,1366,1259
Female,52 years,1644,1602,1688,1702,1710,1719,1668,1705,1705,1613,1556,1529,1398
Female,53 years,1696,1784,1773,1764,1792,1916,1863,1881,1796,1819,1744,1743,1631
Female,54 years,1784,1817,1844,1871,1839,1920,1967,2007,1980,2035,1946,1877,1914
Female,55 years,1978,1941,2025,2055,1942,2100,1964,2162,2227,2115,2216,2134,2121
Female,56 years,2033,2093,2086,2128,2097,2227,2142,2244,2299,2367,2382,2327,2235
Female,57 years,2274,2214,2185,2194,2252,2236,2295,2379,2447,2494,2545,2521,2479
Female,58 years,2427,2467,2341,2400,2356,2477,2410,2545,2682,2601,2703,2686,2778
Female,59 years,2466,2535,2442,2650,2569,2655,2748,2676,2750,2694,2890,2867,3014
Female,60 years,2512,2733,2824,2897,2845,2743,2904,2980,3042,2996,3023,3066,3239
Female,61 years,2603,2564,2926,3078,2926,3020,2921,3148,3020,3267,3245,3230,3317
Female,62 years,2331,2761,2871,3080,3206,3232,3108,3295,3311,3298,3440,3491,3465
Female,63 years,2860,2390,2964,3100,3310,3541,3372,3506,3509,3586,3743,3673,3778
Female,64 years,3494,3018,2561,3239,3285,3730,3649,3844,3838,3800,4155,3854,3962
Female,65 years,3556,3789,3254,2689,3393,3584,3818,4107,4140,4067,4189,4179,4309
Female,66 years,4387,3897,4034,3518,2919,3822,3809,4250,4402,4391,4619,4485,4489
Female,67 years,5130,4792,4099,4244,3803,3163,3849,4361,4556,4672,4803,4817,4675
Female,68 years,5946,5466,5044,4481,4544,4209,3331,4347,4484,4945,5219,4925,5176
Female,69 years,6187,6416,5858,5368,4735,5086,4309,3723,4642,4820,5442,5568,5722
Female,70 years,6371,6604,6927,6293,5998,5367,5280,4880,4158,5173,5334,5699,6134
Female,71 years,6762,6794,7199,7292,6889,6392,5543,6103,5200,4496,5466,5649,6254
Female,72 years,7474,7458,7358,7805,8095,7486,6780,6241,6388,5704,4859,5866,6197
Female,73 years,8300,8044,8021,7993,8287,8909,7925,7705,6656,7139,6270,5188,6509
Female,74 years,7636,8686,8697,8771,8691,9236,9208,8967,8219,7328,7753,6718,5670
Female,75 years,7903,8421,9882,9494,9454,9651,9861,10627,9613,8970,8179,8350,7202
Female,76 years,9024,8551,9295,10518,10211,10542,10358,11400,11320,10690,10051,8524,9253
Female,77 years,10492,9836,9450,9819,11419,11463,11101,11651,11880,12424,11728,10575,9638
Female,78 years,12030,11581,10765,10038,10908,12702,11998,12668,12488,13201,14008,12619,11982
Female,79 years,13045,13058,12480,11133,11025,12095,13358,13844,13504,13851,14821,14973,14481
Female,80 years,14385,14413,13962,13235,12375,12120,12630,15309,15011,15085,15212,15852,16965
Female,81 years,15628,15423,15394,14714,14601,13615,12671,14287,16166,16457,16463,16362,17808
Female,82 years,17514,16938,16414,16511,16269,16059,14170,14457,14927,17814,18023,17514,18366
Female,83 years,18940,18693,17983,16999,17759,17840,16076,16046,14896,16270,19179,18880,19759
Female,84 years,19370,20360,19597,18312,18669,19150,17890,18400,16486,16095,17786,20063,20977
Female,85 years,21219,20786,20744,20193,19602,19815,18891,20107,18651,18156,17305,18085,22280
Female,86 years,23157,21801,21221,20970,21204,20886,19686,21104,20234,19740,18899,17903,20120
Female,87 years,24032,24117,22042,20901,21698,22141,20278,21343,20736,20985,20991,19021,19347
Female,88 years,22907,23804,23420,21493,21555,22354,21102,21580,20626,21522,22002,20652,20200
Female,89 years,12865,22031,23112,22499,21749,21643,20787,22323,20621,20867,21894,21268,21233
Female,90 years,10305,12183,21110,21665,22180,21248,19508,21950,20463,20862,21143,20685,21801
Female,91 years,10577,9633,11337,19401,20808,21119,18961,19976,19734,20394,20105,19303,20753
Female,92 years,10820,9571,8800,10252,18219,19333,18334,18721,17538,18765,19066,18302,18982
Female,93 years,13842,9666,8563,7499,9129,16390,16507,17620,15801,16291,17202,16619,16852
Female,94 years,12744,11822,8316,6987,6771,7968,13364,15171,14392,14259,14161,14066,15128
Female,95 years,10529,10414,9703,6688,6033,5666,6350,11946,11846,12522,12156,11631,12570
Female,96 years,7763,8436,8468,7879,5546,4956,4346,5376,9391,10100,10420,9387,9913
Female,97 years,5942,6256,6372,6464,6223,4400,3543,3746,4029,7572,8020,7744,7684
Female,98 years,4417,4344,4660,4819,4921,4760,3104,2908,2527,3214,5641,5793,6095
Female,99 years,3052,3120,3173,3394,3560,3586,3208,2377,1993,1974,2319,4045,4324
Female,100 years and over,5004,5286,5639,5746,6146,6356,6476,6793,5698,5151,4706,4292,5916
Female,Total,446788,449575,449746,444700,453159,464180,446131,475688,462595,474507,484842,473635,492775
Total,under 1 year,2414,2334,2322,2408,2202,2250,2284,2405,2698,2566,2505,2485,2373
Total,1 year,200,224,197,185,165,195,168,192,197,199,215,182,156
Total,2 years,147,112,121,115,98,95,75,107,111,99,111,114,91
Total,3 years,102,95,80,84,79,84,91,92,78,69,90,88,81
Total,4 years,87,98,84,79,82,60,73,73,72,72,78,83,79
Total,5 years,69,69,72,78,81,74,40,57,82,66,58,79,44
Total,6 years,65,73,71,61,49,56,53,57,71,60,63,67,52
Total,7 years,58,73,52,56,59,56,51,47,45,49,51,56,54
Total,8 years,66,50,60,63,61,56,41,49,63,49,58,46,59
Total,9 years,66,53,61,53,47,65,62,40,53,42,60,42,46
Total,10 years,69,66,50,70,45,44,40,54,53,41,57,47,41
Total,11 years,73,76,63,57,56,43,60,60,59,53,57,62,43
Total,12 years,72,67,78,86,60,63,58,67,49,52,61,57,51
Total,13 years,79,71,85,86,81,68,73,55,77,73,62,65,64
Total,14 years,117,125,89,96,84,84,86,87,89,83,87,83,72
Total,15 years,141,146,127,91,120,120,96,126,106,101,120,103,85
Total,16 years,193,180,160,166,147,164,159,168,164,153,159,124,130
Total,17 years,254,230,210,192,207,179,171,190,192,154,168,156,148
Total,18 years,374,352,305,286,281,250,237,248,265,232,255,242,185
Total,19 years,363,341,336,299,265,272,266,257,266,264,241,249,251
