Year,Country,Age Range,Gender,deaths_by_year_gender_age,deaths_by_year_age,population_by_gender_year_age
2015,Germany,65 - 69,Female,20788.0,56656.0,2167244
2015,Germany,70 - 74,Female,33896.0,87833.0,2244090
2015,Germany,75 - 79,Female,60190.0,139965.0,2339015
2015,Germany,80 - 84,Female,78499.0,156003.0,1473263
2015,Germany,85 - over,Female,233041.0,343908.0,1526460
2015,Germany,0 - 4,Male,1556.0,2869.0,1822117
2015,Germany,10 - 14,Male,164.0,323.0,1902857
2015,Germany,15 - 19,Male,644.0,989.0,2142063
2015,Germany,20 - 24,Male,1114.0,1535.0,2378237
2015,Germany,25 - 29,Male,1463.0,2065.0,2725369
2015,Germany,30 - 34,Male,1891.0,2788.0,2611563
2015,Germany,35 - 39,Male,2395.0,3613.0,2453364
2015,Germany,40 - 44,Male,3943.0,6083.0,2564978
2015,Germany,45 - 49,Male,8639.0,13409.0,3353372
2015,Germany,5 - 9,Male,144.0,250.0,1813879
2015,Germany,50 - 54,Male,15689.0,24213.0,3482817
2015,Germany,55 - 59,Male,22934.0,34940.0,2964114
2015,Germany,60 - 64,Male,30985.0,47758.0,2515694
2015,Germany,65 - 69,Male,35868.0,56656.0,2003147
2015,Germany,70 - 74,Male,53937.0,87833.0,1953617
2015,Germany,75 - 79,Male,79775.0,139965.0,1850588
2015,Germany,80 - 84,Male,77504.0,156003.0,987296
2015,Germany,85 - over,Male,110867.0,343908.0,649744
2016,Germany,0 - 4,Female,1399.0,3156.0,1792557
2016,Germany,10 - 14,Female,150.0,327.0,1789187
2016,Germany,15 - 19,Female,322.0,993.0,1992983
2016,Germany,20 - 24,Female,366.0,1447.0,2183706
2016,Germany,25 - 29,Female,565.0,1932.0,2584310
2016,Germany,30 - 34,Female,881.0,2690.0,2532844
2016,Germany,35 - 39,Female,1232.0,3717.0,2472449
2016,Germany,40 - 44,Female,2076.0,5852.0,2432456
2016,Germany,45 - 49,Female,4650.0,12792.0,3159165
2016,Germany,5 - 9,Female,128.0,314.0,1746432
2016,Germany,50 - 54,Female,8285.0,23592.0,3450998
2016,Germany,55 - 59,Female,12405.0,35433.0,3072266
2016,Germany,60 - 64,Female,16720.0,47458.0,2690311
2016,Germany,65 - 69,Female,22224.0,60803.0,2314129
2016,Germany,70 - 74,Female,30621.0,78466.0,2036524
2016,Germany,75 - 79,Female,58805.0,138767.0,2399555
2016,Germany,80 - 84,Female,77486.0,155872.0,1550183
2016,Germany,85 - over,Female,224280.0,337288.0,1543024
2016,Germany,0 - 4,Male,1757.0,3156.0,1892441
2016,Germany,10 - 14,Male,177.0,327.0,1897747
2016,Germany,15 - 19,Male,671.0,993.0,2188435
2016,Germany,20 - 24,Male,1081.0,1447.0,2397250
2016,Germany,25 - 29,Male,1367.0,1932.0,2792912
2016,Germany,30 - 34,Male,1809.0,2690.0,2661626
2016,Germany,35 - 39,Male,2485.0,3717.0,2532444
2016,Germany,40 - 44,Male,3776.0,5852.0,2473583
2016,Germany,45 - 49,Male,8142.0,12792.0,3232646
2016,Germany,5 - 9,Male,186.0,314.0,1846492
2016,Germany,50 - 54,Male,15307.0,23592.0,3518541
2016,Germany,55 - 59,Male,23028.0,35433.0,3058620
2016,Germany,60 - 64,Male,30738.0,47458.0,2551358
2016,Germany,65 - 69,Male,38579.0,60803.0,2133467
2016,Germany,70 - 74,Male,47845.0,78466.0,1775544
2016,Germany,75 - 79,Male,79962.0,138767.0,1910175
2016,Germany,80 - 84,Male,78386.0,155872.0,1059510
2016,Germany,85 - over,Male,113008.0,337288.0,682865
2017,Germany,0 - 4,Female,1352.0,3005.0,1850210
2017,Germany,10 - 14,Female,144.0,302.0,1786090
2017,Germany,15 - 19,Female,295.0,904.0,1967364
2017,Germany,20 - 24,Female,410.0,1417.0,2183771
2017,Germany,25 - 29,Female,556.0,1834.0,2563956
2017,Germany,30 - 34,Female,882.0,2713.0,2559227
2017,Germany,35 - 39,Female,1258.0,3752.0,2525426
2017,Germany,40 - 44,Female,1887.0,5314.0,2385381
2017,Germany,45 - 49,Female,4277.0,11752.0,3020616
2017,Germany,5 - 9,Female,128.0,266.0,1763769
2017,Germany,50 - 54,Female,8134.0,22882.0,3454057
2017,Germany,55 - 59,Female,12271.0,35073.0,3161802
2017,Germany,60 - 64,Female,16947.0,47691.0,2727445
2017,Germany,65 - 69,Female,22895.0,62730.0,2418119
2017,Germany,70 - 74,Female,29840.0,75588.0,1939321
2017,Germany,75 - 79,Female,59136.0,139232.0,2384933
2017,Germany,80 - 84,Female,81721.0,165342.0,1646988
2017,Germany,85 - over,Female,232374.0,352466.0,1548219
2017,Germany,0 - 4,Male,1653.0,3005.0,1951404
2017,Germany,10 - 14,Male,158.0,302.0,1894392
2017,Germany,15 - 19,Male,609.0,904.0,2159356
2017,Germany,20 - 24,Male,1007.0,1417.0,2404505
2017,Germany,25 - 29,Male,1278.0,1834.0,2768465
2017,Germany,30 - 34,Male,1831.0,2713.0,2696440
2017,Germany,35 - 39,Male,2494.0,3752.0,2585201
2017,Germany,40 - 44,Male,3427.0,5314.0,2419793
2017,Germany,45 - 49,Male,7475.0,11752.0,3080986
2017,Germany,5 - 9,Male,138.0,266.0,1864305
2017,Germany,50 - 54,Male,14748.0,22882.0,3522122
2017,Germany,55 - 59,Male,22802.0,35073.0,3150521
2017,Germany,60 - 64,Male,30744.0,47691.0,2600725
2017,Germany,65 - 69,Male,39835.0,62730.0,2219381
2017,Germany,70 - 74,Male,45748.0,75588.0,1694104
2017,Germany,75 - 79,Male,80096.0,139232.0,1907558
2017,Germany,80 - 84,Male,83621.0,165342.0,1143106
2017,Germany,85 - over,Male,120092.0,352466.0,708012
2018,Germany,0 - 4,Female,1340.0,2999.0,1892431
2018,Germany,10 - 14,Female,137.0,324.0,1792629
2018,Germany,15 - 19,Female,304.0,943.0,1935018
2018,Germany,20 - 24,Female,369.0,1423.0,2190850
2018,Germany,25 - 29,Female,555.0,1836.0,2522830
2018,Germany,30 - 34,Female,913.0,2637.0,2599252
2018,Germany,35 - 39,Female,1356.0,3833.0,2567259
2018,Germany,40 - 44,Female,1960.0,5547.0,2389957
2018,Germany,45 - 49,Female,4031.0,11060.0,2858182
2018,Germany,5 - 9,Female,119.0,290.0,1775431
2018,Germany,50 - 54,Female,7982.0,22654.0,3427893
2018,Germany,55 - 59,Female,12736.0,36452.0,3252884
2018,Germany,60 - 64,Female,17606.0,49584.0,2772628
2018,Germany,65 - 69,Female,24272.0,65660.0,2488204
2018,Germany,70 - 74,Female,29682.0,75437.0,1922040
2018,Germany,75 - 79,Female,58787.0,137300.0,2308383
2018,Germany,80 - 84,Female,86663.0,176688.0,1761509
2018,Germany,85 - over,Female,236030.0,360207.0,1543296
2018,Germany,0 - 4,Male,1659.0,2999.0,1994159
2018,Germany,10 - 14,Male,187.0,324.0,1899846
2018,Germany,15 - 19,Male,639.0,943.0,2107007
2018,Germany,20 - 24,Male,1054.0,1423.0,2414045
2018,Germany,25 - 29,Male,1281.0,1836.0,2722880
2018,Germany,30 - 34,Male,1724.0,2637.0,2750391
2018,Germany,35 - 39,Male,2477.0,3833.0,2633056
2018,Germany,40 - 44,Male,3587.0,5547.0,2425094
2018,Germany,45 - 49,Male,7029.0,11060.0,2905723
2018,Germany,5 - 9,Male,171.0,290.0,1876798
2018,Germany,50 - 54,Male,14672.0,22654.0,3494107
2018,Germany,55 - 59,Male,23716.0,36452.0,3246985
2018,Germany,60 - 64,Male,31978.0,49584.0,2661860
2018,Germany,65 - 69,Male,41388.0,65660.0,2271894
2018,Germany,70 - 74,Male,45755.0,75437.0,1682190
2018,Germany,75 - 79,Male,78513.0,137300.0,1854023
2018,Germany,80 - 84,Male,90025.0,176688.0,1236897
2018,Germany,85 - over,Male,124177.0,360207.0,728195
2019,Germany,0 - 4,Female,1292.0,2952.0,1920985
2019,Germany,10 - 14,Female,142.0,314.0,1797757
