Year,Gender,Age Range,Deaths,Country,Total
2015,Female,35 - 39,1218.0,Germany,3613.0
2015,Female,40 - 44,2140.0,Germany,6083.0
2015,Female,45 - 49,4770.0,Germany,13409.0
2015,Female,5 - 9,106.0,Germany,250.0
2015,Female,50 - 54,8524.0,Germany,24213.0
2015,Female,55 - 59,12006.0,Germany,34940.0
2015,Female,60 - 64,16773.0,Germany,47758.0
2015,Female,65 - 69,20788.0,Germany,56656.0
2015,Female,70 - 74,33896.0,Germany,87833.0
2015,Female,75 - 79,60190.0,Germany,139965.0
2015,Female,80 - 84,78499.0,Germany,156003.0
2015,Female,85 - over,233041.0,Germany,343908.0
2015,Male,0 - 4,1556.0,Germany,2869.0
2015,Male,10 - 14,164.0,Germany,323.0
2015,Male,15 - 19,644.0,Germany,989.0
2015,Male,20 - 24,1114.0,Germany,1535.0
2015,Male,25 - 29,1463.0,Germany,2065.0
2015,Male,30 - 34,1891.0,Germany,2788.0
2015,Male,35 - 39,2395.0,Germany,3613.0
2015,Male,40 - 44,3943.0,Germany,6083.0
2015,Male,45 - 49,8639.0,Germany,13409.0
2015,Male,5 - 9,144.0,Germany,250.0
2015,Male,50 - 54,15689.0,Germany,24213.0
2015,Male,55 - 59,22934.0,Germany,34940.0
2015,Male,60 - 64,30985.0,Germany,47758.0
2015,Male,65 - 69,35868.0,Germany,56656.0
2015,Male,70 - 74,53937.0,Germany,87833.0
2015,Male,75 - 79,79775.0,Germany,139965.0
2015,Male,80 - 84,77504.0,Germany,156003.0
2015,Male,85 - over,110867.0,Germany,343908.0
2016,Female,0 - 4,1399.0,Germany,3156.0
2016,Female,10 - 14,150.0,Germany,327.0
2016,Female,15 - 19,322.0,Germany,993.0
2016,Female,20 - 24,366.0,Germany,1447.0
2016,Female,25 - 29,565.0,Germany,1932.0
2016,Female,30 - 34,881.0,Germany,2690.0
2016,Female,35 - 39,1232.0,Germany,3717.0
2016,Female,40 - 44,2076.0,Germany,5852.0
2016,Female,45 - 49,4650.0,Germany,12792.0
2016,Female,5 - 9,128.0,Germany,314.0
2016,Female,50 - 54,8285.0,Germany,23592.0
2016,Female,55 - 59,12405.0,Germany,35433.0
2016,Female,60 - 64,16720.0,Germany,47458.0
2016,Female,65 - 69,22224.0,Germany,60803.0
2016,Female,70 - 74,30621.0,Germany,78466.0
2016,Female,75 - 79,58805.0,Germany,138767.0
2016,Female,80 - 84,77486.0,Germany,155872.0
2016,Female,85 - over,224280.0,Germany,337288.0
2016,Male,0 - 4,1757.0,Germany,3156.0
2016,Male,10 - 14,177.0,Germany,327.0
2016,Male,15 - 19,671.0,Germany,993.0
2016,Male,20 - 24,1081.0,Germany,1447.0
2016,Male,25 - 29,1367.0,Germany,1932.0
2016,Male,30 - 34,1809.0,Germany,2690.0
2016,Male,35 - 39,2485.0,Germany,3717.0
2016,Male,40 - 44,3776.0,Germany,5852.0
2016,Male,45 - 49,8142.0,Germany,12792.0
2016,Male,5 - 9,186.0,Germany,314.0
2016,Male,50 - 54,15307.0,Germany,23592.0
2016,Male,55 - 59,23028.0,Germany,35433.0
2016,Male,60 - 64,30738.0,Germany,47458.0
2016,Male,65 - 69,38579.0,Germany,60803.0
2016,Male,70 - 74,47845.0,Germany,78466.0
2016,Male,75 - 79,79962.0,Germany,138767.0
2016,Male,80 - 84,78386.0,Germany,155872.0
2016,Male,85 - over,113008.0,Germany,337288.0
2017,Female,0 - 4,1352.0,Germany,3005.0
2017,Female,10 - 14,144.0,Germany,302.0
2017,Female,15 - 19,295.0,Germany,904.0
2017,Female,20 - 24,410.0,Germany,1417.0
2017,Female,25 - 29,556.0,Germany,1834.0
2017,Female,30 - 34,882.0,Germany,2713.0
2017,Female,35 - 39,1258.0,Germany,3752.0
2017,Female,40 - 44,1887.0,Germany,5314.0
2017,Female,45 - 49,4277.0,Germany,11752.0
2017,Female,5 - 9,128.0,Germany,266.0
2017,Female,50 - 54,8134.0,Germany,22882.0
2017,Female,55 - 59,12271.0,Germany,35073.0
2017,Female,60 - 64,16947.0,Germany,47691.0
2017,Female,65 - 69,22895.0,Germany,62730.0
2017,Female,70 - 74,29840.0,Germany,75588.0
2017,Female,75 - 79,59136.0,Germany,139232.0
2017,Female,80 - 84,81721.0,Germany,165342.0
2017,Female,85 - over,232374.0,Germany,352466.0
2017,Male,0 - 4,1653.0,Germany,3005.0
2017,Male,10 - 14,158.0,Germany,302.0
2017,Male,15 - 19,609.0,Germany,904.0
2017,Male,20 - 24,1007.0,Germany,1417.0
2017,Male,25 - 29,1278.0,Germany,1834.0
2017,Male,30 - 34,1831.0,Germany,2713.0
2017,Male,35 - 39,2494.0,Germany,3752.0
2017,Male,40 - 44,3427.0,Germany,5314.0
2017,Male,45 - 49,7475.0,Germany,11752.0
2017,Male,5 - 9,138.0,Germany,266.0
2017,Male,50 - 54,14748.0,Germany,22882.0
2017,Male,55 - 59,22802.0,Germany,35073.0
2017,Male,60 - 64,30744.0,Germany,47691.0
2017,Male,65 - 69,39835.0,Germany,62730.0
2017,Male,70 - 74,45748.0,Germany,75588.0
2017,Male,75 - 79,80096.0,Germany,139232.0
2017,Male,80 - 84,83621.0,Germany,165342.0
2017,Male,85 - over,120092.0,Germany,352466.0
2018,Female,0 - 4,1340.0,Germany,2999.0
2018,Female,10 - 14,137.0,Germany,324.0
2018,Female,15 - 19,304.0,Germany,943.0
2018,Female,20 - 24,369.0,Germany,1423.0
2018,Female,25 - 29,555.0,Germany,1836.0
2018,Female,30 - 34,913.0,Germany,2637.0
2018,Female,35 - 39,1356.0,Germany,3833.0
2018,Female,40 - 44,1960.0,Germany,5547.0
2018,Female,45 - 49,4031.0,Germany,11060.0
2018,Female,5 - 9,119.0,Germany,290.0
2018,Female,50 - 54,7982.0,Germany,22654.0
2018,Female,55 - 59,12736.0,Germany,36452.0
2018,Female,60 - 64,17606.0,Germany,49584.0
2018,Female,65 - 69,24272.0,Germany,65660.0
2018,Female,70 - 74,29682.0,Germany,75437.0
2018,Female,75 - 79,58787.0,Germany,137300.0
2018,Female,80 - 84,86663.0,Germany,176688.0
2018,Female,85 - over,236030.0,Germany,360207.0
2018,Male,0 - 4,1659.0,Germany,2999.0
2018,Male,10 - 14,187.0,Germany,324.0
2018,Male,15 - 19,639.0,Germany,943.0
2018,Male,20 - 24,1054.0,Germany,1423.0
2018,Male,25 - 29,1281.0,Germany,1836.0
2018,Male,30 - 34,1724.0,Germany,2637.0
2018,Male,35 - 39,2477.0,Germany,3833.0
2018,Male,40 - 44,3587.0,Germany,5547.0
2018,Male,45 - 49,7029.0,Germany,11060.0
2018,Male,5 - 9,171.0,Germany,290.0
2018,Male,50 - 54,14672.0,Germany,22654.0
2018,Male,55 - 59,23716.0,Germany,36452.0
2018,Male,60 - 64,31978.0,Germany,49584.0
2018,Male,65 - 69,41388.0,Germany,65660.0
2018,Male,70 - 74,45755.0,Germany,75437.0
2018,Male,75 - 79,78513.0,Germany,137300.0
2018,Male,80 - 84,90025.0,Germany,176688.0
2018,Male,85 - over,124177.0,Germany,360207.0
2019,Female,0 - 4,1292.0,Germany,2952.0
2019,Female,10 - 14,142.0,Germany,314.0
2019,Female,15 - 19,266.0,Germany,874.0
2019,Female,20 - 24,360.0,Germany,1350.0
2019,Female,25 - 29,518.0,Germany,1745.0
2019,Female,30 - 34,882.0,Germany,2635.0
2019,Female,35 - 39,1408.0,Germany,3899.0
2019,Female,40 - 44,1866.0,Germany,5435.0
2019,Female,45 - 49,3586.0,Germany,10140.0
2019,Female,5 - 9,120.0,Germany,290.0
2019,Female,50 - 54,7744.0,Germany,21415.0
2019,Female,55 - 59,12535.0,Germany,35552.0
2019,Female,60 - 64,17314.0,Germany,48966.0
2019,Female,65 - 69,23974.0,Germany,65504.0
2019,Female,70 - 74,29120.0,Germany,73890.0
2019,Female,75 - 79,55041.0,Germany,129065.0
2019,Female,80 - 84,88671.0,Germany,181439.0
2019,Female,85 - over,228796.0,Germany,354055.0
2019,Male,0 - 4,1660.0,Germany,2952.0
2019,Male,10 - 14,172.0,Germany,314.0
2019,Male,15 - 19,608.0,Germany,874.0
2019,Male,20 - 24,990.0,Germany,1350.0
2019,Male,25 - 29,1227.0,Germany,1745.0
2019,Male,30 - 34,1753.0,Germany,2635.0
2019,Male,35 - 39,2491.0,Germany,3899.0
2019,Male,40 - 44,3569.0,Germany,5435.0
2019,Male,45 - 49,6554.0,Germany,10140.0
2019,Male,5 - 9,170.0,Germany,290.0
2019,Male,50 - 54,13671.0,Germany,21415.0
2019,Male,55 - 59,23017.0,Germany,35552.0
2019,Male,60 - 64,31652.0,Germany,48966.0
2019,Male,65 - 69,41530.0,Germany,65504.0
2019,Male,70 - 74,44770.0,Germany,73890.0
2019,Male,75 - 79,74024.0,Germany,129065.0
2019,Male,80 - 84,92768.0,Germany,181439.0
2019,Male,85 - over,125259.0,Germany,354055.0
2020,Female,0 - 4,1292.0,Germany,2780.0
2020,Female,10 - 14,117.0,Germany,271.0
2020,Female,15 - 19,236.0,Germany,799.0
2020,Female,20 - 24,360.0,Germany,1378.0
2020,Female,25 - 29,514.0,Germany,1667.0
2020,Female,30 - 34,854.0,Germany,2607.0
2020,Female,35 - 39,1357.0,Germany,4061.0
2020,Female,40 - 44,2006.0,Germany,5803.0
2020,Female,45 - 49,3525.0,Germany,9704.0
2020,Female,5 - 9,100.0,Germany,255.0
2020,Female,50 - 54,7262.0,Germany,20808.0
2020,Female,55 - 59,12627.0,Germany,36523.0
2020,Female,60 - 64,17761.0,Germany,50936.0
2020,Female,65 - 69,24371.0,Germany,67524.0
2020,Female,70 - 74,30764.0,Germany,78728.0
2020,Female,75 - 79,52556.0,Germany,123229.0
2020,Female,80 - 84,93875.0,Germany,194795.0
2020,Female,85 - over,243198.0,Germany,383704.0
2020,Male,0 - 4,1488.0,Germany,2780.0
2020,Male,10 - 14,154.0,Germany,271.0
2020,Male,15 - 19,563.0,Germany,799.0
2020,Male,20 - 24,1018.0,Germany,1378.0
2020,Male,25 - 29,1153.0,Germany,1667.0
2020,Male,30 - 34,1753.0,Germany,2607.0
2020,Male,35 - 39,2704.0,Germany,4061.0
2020,Male,40 - 44,3797.0,Germany,5803.0
2020,Male,45 - 49,6179.0,Germany,9704.0
2020,Male,5 - 9,155.0,Germany,255.0
2020,Male,50 - 54,13546.0,Germany,20808.0
2020,Male,55 - 59,23896.0,Germany,36523.0
2020,Male,60 - 64,33175.0,Germany,50936.0
2020,Male,65 - 69,43153.0,Germany,67524.0
2020,Male,70 - 74,47964.0,Germany,78728.0
2020,Male,75 - 79,70673.0,Germany,123229.0
2020,Male,80 - 84,100920.0,Germany,194795.0
2020,Male,85 - over,140506.0,Germany,383704.0
