Year_1,Sex,Age,population_by_gender_year_age
2020,Females,85 - over,105151
2020,Males,0 - 4,126209
2020,Males,10 - 14,160031
2020,Males,15 - 19,152522
2020,Males,20 - 24,159178
2020,Males,25 - 29,181808
2020,Males,30 - 34,183434
2020,Males,35 - 39,187719
2020,Males,40 - 44,178936
2020,Males,45 - 49,162358
2020,Males,5 - 9,153934
2020,Males,50 - 54,174856
2020,Males,55 - 59,183465
2020,Males,60 - 64,175134
2020,Males,65 - 69,169845
2020,Males,70 - 74,165833
2020,Males,75 - 79,103742
2020,Males,80 - 85,65005
2020,Males,85 - over,49799
